iter	Passed	Remaining
404	7947	21486
405	7964	21459
406	7982	21437
407	8000	21411
408	8018	21389
409	8037	21368
410	8057	21350
411	8077	21331
412	8096	21309
413	8115	21288
414	8134	21267
415	8153	21246
416	8172	21224
417	8191	21204
418	8209	21179
419	8227	21157
420	8246	21134
421	8264	21112
422	8284	21093
423	8303	21071
424	8321	21048
425	8341	21029
426	8359	21006
427	8378	20986
428	8398	20967
429	8416	20944
430	8435	20923
431	8453	20898
432	8470	20873
433	8490	20855
434	8510	20836
435	8528	20813
436	8547	20792
437	8567	20772
438	8587	20754
439	8606	20733
440	8624	20710
441	8643	20688
442	8663	20669
443	8682	20650
444	8700	20626
445	8721	20610
446	8741	20592
447	8760	20571
448	8780	20552
449	8799	20531
450	8817	20508
451	8835	20484
452	8856	20470
453	8875	20448
454	8893	20426
455	8912	20405
456	8931	20385
457	8950	20363
458	8971	20346
459	8991	20327
460	9009	20306
461	9029	20286
462	9047	20263
463	9066	20242
464	9084	20220
465	9101	20194
466	9120	20174
467	9139	20154
468	9158	20132
469	9177	20111
470	9195	20090
471	9215	20071
472	9233	20047
473	9250	20023
474	9270	20004
475	9292	19989
476	9311	19970
477	9329	19946
478	9348	19927
479	9367	19905
480	9388	19890
481	9408	19871
482	9428	19852
483	9447	19831
484	9465	19808
485	9485	19790
486	9502	19766
487	9522	19748
488	9545	19734
489	9565	19715
490	9583	19694
491	9601	19671
492	9619	19647
493	9637	19626
494	9657	19607
495	9677	19588
496	9695	19566
497	9714	19545
498	9734	19527
499	9753	19507
500	9773	19489
501	9791	19466
502	9812	19448
503	9830	19427
504	9850	19408
505	9870	19389
506	9888	19367
507	9908	19348
508	9926	19327
509	9946	19307
510	9965	19286
511	9984	19266
512	10002	19244
513	10021	19223
514	10040	19203
515	10057	19180
516	10077	19161
517	10096	19140
518	10114	19118
519	10134	19099
520	10154	19081
521	10173	19061
522	10195	19045
523	10215	19026
524	10233	19004
525	10251	18983
526	10269	18960
527	10289	18942
528	10307	18920
529	10327	18901
530	10347	18882
531	10367	18864
532	10385	18842
533	10406	18825
534	10425	18804
535	10444	18785
536	10463	18763
537	10483	18745
538	10502	18724
539	10522	18705
540	10542	18688
541	10563	18670
542	10581	18649
543	10601	18631
544	10619	18609
545	10639	18589
546	10657	18567
547	10677	18548
548	10698	18531
549	10716	18511
550	10735	18490
551	10756	18473
552	10775	18452
553	10793	18431
554	10814	18414
555	10832	18392
556	10853	18374
557	10872	18354
558	10892	18335
559	10910	18314
560	10932	18298
561	10949	18274
562	10967	18253
563	10986	18232
564	11006	18214
565	11025	18194
566	11044	18172
567	11061	18150
568	11081	18130
569	11099	18110
570	11119	18091
571	11138	18071
572	11157	18051
573	11178	18033
574	11199	18016
575	11218	17995
576	11237	17975
577	11256	17955
578	11276	17937
579	11295	17916
580	11315	17898
581	11334	17878
582	11354	17859
583	11372	17838
584	11390	17816
585	11410	17796
586	11428	17774
587	11445	17752
588	11464	17731
589	11486	17715
590	11504	17695
591	11526	17679
592	11545	17659
593	11568	17644
594	11586	17623
595	11606	17604
596	11625	17583
597	11644	17564
598	11665	17546
599	11685	17528
600	11706	17510
601	11726	17492
602	11747	17475
603	11766	17454
604	11787	17437
605	11807	17418
606	11826	17398
607	11846	17379
608	11866	17360
609	11885	17341
610	11904	17320
611	11924	17302
612	11942	17280
613	11962	17261
614	11980	17240
615	11999	17220
616	12021	17203
617	12041	17185
618	12062	17168
619	12079	17144
620	12098	17124
621	12116	17103
622	12135	17083
623	12154	17063
624	12174	17044
625	12195	17026
626	12217	17010
627	12236	16990
628	12255	16970
629	12275	16951
630	12295	16933
631	12323	16924
632	12348	16913
633	12370	16897
634	12393	16882
635	12414	16865
636	12434	16845
637	12452	16824
638	12471	16804
639	12491	16785
640	12510	16764
641	12532	16749
642	12552	16729
643	12571	16709
644	12589	16689
645	12611	16671
646	12629	16650
647	12647	16629
648	12666	16609
649	12686	16590
650	12706	16571
651	12726	16551
652	12744	16531
653	12764	16512
654	12782	16490
655	12800	16469
656	12819	16448
657	12837	16427
658	12857	16408
659	12878	16390
660	12898	16372
661	12919	16354
662	12937	16333
663	12956	16312
664	12976	16293
665	12994	16272
666	13012	16251
667	13032	16231
668	13051	16212
669	13071	16193
670	13090	16173
671	13110	16154
672	13131	16135
673	13150	16115
674	13170	16096
675	13189	16077
676	13208	16056
677	13227	16036
678	13246	16016
679	13264	15995
680	13283	15974
681	13302	15955
682	13322	15935
683	13341	15916
684	13360	15896
685	13379	15875
686	13398	15855
687	13418	15836
688	13438	15818
689	13458	15799
690	13479	15781
691	13499	15761
692	13518	15742
693	13538	15723
694	13557	15703
695	13577	15683
696	13597	15665
697	13616	15645
698	13635	15625
699	13654	15605
700	13674	15586
701	13696	15569
702	13716	15550
703	13736	15531
704	13754	15510
705	13773	15490
706	13794	15472
707	13813	15452
708	13833	15433
709	13857	15418
710	13879	15402
711	13900	15383
712	13920	15365
713	13940	15346
714	13961	15328
715	13980	15308
716	13999	15287
717	14020	15270
718	14039	15250
719	14059	15231
720	14078	15210
721	14098	15192
722	14117	15171
723	14136	15151
724	14155	15131
725	14175	15112
726	14194	15092
727	14214	15073
728	14233	15053
729	14253	15034
730	14272	15013
731	14291	14994
732	14309	14973
733	14328	14953
734	14348	14934
735	14368	14915
736	14387	14894
737	14405	14874
738	14425	14855
739	14445	14835
740	14465	14816
741	14485	14797
742	14503	14776
743	14522	14756
744	14542	14737
745	14560	14716
746	14579	14696
747	14598	14676
748	14617	14656
749	14637	14637
750	14657	14618
751	14675	14597
752	14693	14576
753	14713	14557
754	14732	14537
755	14751	14517
756	14771	14498
757	14789	14477
758	14809	14458
759	14829	14438
760	14849	14420
761	14869	14401
762	14887	14380
763	14906	14360
764	14926	14341
765	14945	14321
766	14964	14300
767	14982	14279
768	15000	14259
769	15018	14238
770	15038	14218
771	15058	14199
772	15076	14178
773	15095	14159
774	15113	14138
775	15136	14122
776	15157	14103
777	15176	14083
778	15194	14062
779	15213	14043
780	15232	14023
781	15252	14004
782	15272	13985
783	15291	13965
784	15310	13945
785	15330	13925
786	15348	13905
787	15368	13886
788	15388	13867
789	15406	13846
790	15425	13826
791	15444	13806
792	15463	13786
793	15482	13766
794	15502	13747
795	15521	13727
796	15540	13707
797	15561	13689
798	15580	13669
799	15601	13651
800	15621	13631
801	15641	13613
802	15662	13594
803	15683	13576
804	15703	13557
805	15722	13537
806	15742	13518
807	15763	13500
808	15782	13480
809	15801	13460
810	15821	13441
811	15840	13421
812	15860	13402
813	15880	13383
814	15898	13362
815	15918	13343
816	15937	13323
817	15954	13302
818	15974	13282
819	15992	13261
820	16011	13242
821	16030	13222
822	16048	13201
823	16069	13183
824	16087	13162
825	16107	13143
826	16127	13124
827	16148	13105
828	16168	13086
829	16187	13066
830	16207	13048
831	16228	13029
832	16247	13009
833	16267	12990
834	16286	12970
835	16305	12950
836	16324	12931
837	16345	12912
838	16365	12893
839	16383	12872
840	16401	12852
841	16422	12833
842	16440	12813
843	16460	12794
844	16480	12774
845	16498	12753
846	16516	12733
847	16536	12714
848	16556	12695
849	16575	12675
850	16594	12655
851	16614	12636
852	16636	12618
853	16655	12598
854	16674	12579
855	16697	12562
856	16717	12542
857	16736	12522
858	16755	12503
859	16775	12483
860	16794	12464
861	16813	12444
862	16832	12424
863	16852	12405
864	16872	12385
865	16892	12367
866	16912	12347
867	16931	12328
868	16952	12309
869	16972	12290
870	16991	12270
871	17011	12251
872	17030	12231
873	17050	12212
874	17069	12192
875	17088	12172
876	17110	12154
877	17130	12135
878	17150	12116
879	17169	12096
880	17188	12076
881	17206	12056
882	17226	12036
883	17244	12016
884	17263	11996
885	17282	11976
886	17300	11956
887	17322	11938
888	17344	11920
889	17364	11901
890	17383	11881
891	17401	11860
892	17421	11841
893	17440	11822
894	17460	11802
895	17479	11783
896	17498	11763
897	17519	11744
898	17539	11725
899	17559	11706
900	17579	11687
901	17598	11667
902	17619	11648
903	17637	11628
904	17655	11607
905	17674	11587
906	17693	11568
907	17713	11548
908	17733	11529
909	17753	11510
910	17772	11490
911	17793	11471
912	17811	11451
913	17829	11431
914	17850	11412
915	17869	11393
916	17890	11374
917	17909	11354
918	17929	11335
919	17950	11316
920	17970	11297
921	17989	11277
922	18009	11258
923	18029	11239
924	18047	11218
925	18065	11198
926	18086	11179
927	18103	11158
928	18124	11139
929	18144	11121
930	18165	11102
931	18185	11083
932	18205	11063
933	18224	11044
934	18243	11024
935	18262	11004
936	18282	10984
937	18306	10968
938	18324	10948
939	18343	10928
940	18361	10907
941	18381	10888
942	18400	10868
943	18421	10849
944	18439	10829
945	18459	10810
946	18481	10791
947	18499	10771
948	18517	10751
949	18537	10732
950	18555	10711
951	18574	10692
952	18592	10671
953	18614	10653
954	18632	10633
955	18651	10613
956	18672	10594
957	18691	10574
958	18710	10555
959	18729	10535
960	18747	10514
961	18766	10495
962	18785	10475
963	18803	10455
964	18824	10436
965	18843	10416
966	18863	10397
967	18883	10378
968	18902	10358
969	18921	10338
970	18940	10318
971	18957	10298
972	18977	10278
973	18996	10259
974	19014	10238
975	19033	10218
